TIME_STAMP,SERVER_NAME,DOWNLOAD,UPLOAD
2024-03-05 18:25:00,10.0.901.xx Server 1,11927.017,424.7
2024-03-05 18:20:00,10.0.901.xx Server 1,19703.467,525.575
2024-03-05 18:15:00,10.0.901.xx Server 1,26349.663,631.144
2024-03-05 18:10:00,10.0.901.xx Server 1,26068.494,623.673
2024-03-05 18:05:00,10.0.901.xx Server 1,25814.357,620.701
2024-03-05 18:00:00,10.0.901.xx Server 1,25566.226,618.968
2024-03-05 17:55:00,10.0.901.xx Server 1,25483.363,612.865
2024-03-05 17:50:00,10.0.901.xx Server 1,25424.171,613.67
2024-03-05 17:45:00,10.0.901.xx Server 1,25128.195,608.531
2024-03-05 17:40:00,10.0.901.xx Server 1,24856.787,609.905
2024-03-05 17:35:00,10.0.901.xx Server 1,24660.756,600.669
2024-03-05 17:30:00,10.0.901.xx Server 1,24263.762,589.236
2024-03-05 17:25:00,10.0.901.xx Server 1,24127.954,581.875
2024-03-05 17:20:00,10.0.901.xx Server 1,24016.981,578.902
2024-03-05 17:15:00,10.0.901.xx Server 1,24130.222,583.403
2024-03-05 17:10:00,10.0.901.xx Server 1,23682.762435113724,581.977
2024-03-05 17:05:00,10.0.901.xx Server 1,23829.724,574.672
2024-03-05 17:00:00,10.0.901.xx Server 1,23243.142,565.183
2024-03-05 16:55:00,10.0.901.xx Server 1,22856.921,554.941
2024-03-05 16:50:00,10.0.901.xx Server 1,22672.022,549.81
2024-03-05 16:45:00,10.0.901.xx Server 1,22439.928,542.273
2024-03-05 16:40:00,10.0.901.xx Server 1,22388.645,545.418
2024-03-05 16:35:00,10.0.901.xx Server 1,22274.833,541.571
2024-03-05 16:30:00,10.0.901.xx Server 1,21973.668,533.581
2024-03-05 16:25:00,10.0.901.xx Server 1,21620.102,525.92
2024-03-05 16:20:00,10.0.901.xx Server 1,21386.17,521.757
2024-03-05 16:15:00,10.0.901.xx Server 1,21616.811,528.152
2024-03-05 16:05:00,10.0.901.xx Server 1,21160.456,518.348
2024-03-05 16:00:00,10.0.901.xx Server 1,20589.353,507.027
2024-03-05 15:55:00,10.0.901.xx Server 1,20238.693,492.582
2024-03-05 15:50:00,10.0.901.xx Server 1,19885.558,485.065
2024-03-05 15:45:00,10.0.901.xx Server 1,19564.878,476.484
2024-03-05 15:40:00,10.0.901.xx Server 1,19145.577,470.749
2024-03-05 15:35:00,10.0.901.xx Server 1,19163.715,469.363
2024-03-05 15:30:00,10.0.901.xx Server 1,18962.087,468.614
2024-03-05 15:25:00,10.0.901.xx Server 1,18646.279,459.237
2024-03-05 15:20:00,10.0.901.xx Server 1,18408.284,452.831
2024-03-05 15:15:00,10.0.901.xx Server 1,18147.067,442.777
2024-03-05 15:10:00,10.0.901.xx Server 1,18014.299,439.505
2024-03-05 15:05:00,10.0.901.xx Server 1,17850.242,436.123
2024-03-05 15:00:00,10.0.901.xx Server 1,17781.729,435.27
2024-03-05 14:55:00,10.0.901.xx Server 1,17620.846,429.92
2024-03-05 14:50:00,10.0.901.xx Server 1,17510.721,433.453
2024-03-05 14:45:00,10.0.901.xx Server 1,17390.276,428.041
2024-03-05 14:40:00,10.0.901.xx Server 1,17287.328,428.45
2024-03-05 14:35:00,10.0.901.xx Server 1,17139.885,419.57079805825117
